"MUID","SEQN","SNAM","S5ID","CMPPCT","NLAYERS","HYDGRP","SOL_ZMX","ANION_EXCL","SOL_CRK","TEXTURE","SOL_Z1","SOL_BD1","SOL_AWC1","SOL_K1","SOL_CBN1","CLAY1","SILT1","SAND1","ROCK1","SOL_ALB1","USLE_K1","SOL_EC1","SOL_Z2","SOL_BD2","SOL_AWC2","SOL_K2","SOL_CBN2","CLAY2","SILT2","SAND2","ROCK2","SOL_ALB2","USLE_K2","SOL_EC2","SOL_Z3","SOL_BD3","SOL_AWC3","SOL_K3","SOL_CBN3","CLAY3","SILT3","SAND3","ROCK3","SOL_ALB3","USLE_K3","SOL_EC3","SOL_Z4","SOL_BD4","SOL_AWC4","SOL_K4","SOL_CBN4","CLAY4","SILT4","SAND4","ROCK4","SOL_ALB4","USLE_K4","SOL_EC4","SOL_Z5","SOL_BD5","SOL_AWC5","SOL_K5","SOL_CBN5","CLAY5","SILT5","SAND5","ROCK5","SOL_ALB5","USLE_K5","SOL_EC5","SOL_Z6","SOL_BD6","SOL_AWC6","SOL_K6","SOL_CBN6","CLAY6","SILT6","SAND6","ROCK6","SOL_ALB6","USLE_K6","SOL_EC6","SOL_Z7","SOL_BD7","SOL_AWC7","SOL_K7","SOL_CBN7","CLAY7","SILT7","SAND7","ROCK7","SOL_ALB7","USLE_K7","SOL_EC7","SOL_Z8","SOL_BD8","SOL_AWC8","SOL_K8","SOL_CBN8","CLAY8","SILT8","SAND8","ROCK8","SOL_ALB8","USLE_K8","SOL_EC8","SOL_Z9","SOL_BD9","SOL_AWC9","SOL_K9","SOL_CBN9","CLAY9","SILT9","SAND9","ROCK9","SOL_ALB9","USLE_K9","SOL_EC9","SOL_Z10","SOL_BD10","SOL_AWC10","SOL_K10","SOL_CBN10","CLAY10","SILT10","SAND10","ROCK10","SOL_ALB10","USLE_K10","SOL_EC10"
"ABEVL~~~~~A","1591","ABEVL~~~~~A","SLCAB","100","6","3","1000","0.5","0.5","Not available","180","1.1","15","100","3.6","30","55","15","0","0.1","0.201775175656758","0","350","1.1","15","300","3.6","27","58","15","0","0","0","0","450","1.35","17","100","1.5","28","58","14","0","0","0","0","600","1.35","18","100","0.5","30","55","15","0","0","0","0","800","1.4","17","30","0","25","55","20","0","0","0","0","1000","1.45","15","10","0","30","40","30","10","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ABEVL~~~~~N","1592","ABEVL~~~~~N","SLCAB","100","6","3","1000","0.5","0.5","Not available","80","1.1","14","300","3.9","25","55","20","0","0.1","0.183176106333489","0","350","1.1","14","300","2.1","27","58","15","0","0","0","0","450","1.35","17","100","1.5","28","58","14","0","0","0","0","600","1.35","18","100","0.5","30","55","15","0","0","0","0","800","1.4","17","30","0","25","55","20","0","0","0","0","1000","1.45","15","10","0","30","40","30","10","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ABEXPaa~~~A","1593","ABEXPaa~~~A","SLCAB","100","4","1","1000","0.5","0.5","Not available","120","1.25","12","100","1.1","21","44","35","0","0.1","0.168802108046533","0","250","1.4","12","100","1","22","35","43","0","0","0","0","400","1.4","15","100","0","19","55","26","0","0","0","0","1000","1.4","15","100","0","19","55","26","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ABEXP~~~~~A","1594","ABEXP~~~~~A","SLCAB","100","4","1","1000","0.5","0.5","Not available","120","1.25","12","100","1.1","21","44","35","0","0.1","0.168802108046533","0","250","1.4","12","100","1","22","35","43","0","0","0","0","400","1.4","15","100","0","19","55","26","0","0","0","0","1000","1.4","15","100","0","19","55","26","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ABEXP~~~~~N","1595","ABEXP~~~~~N","SLCAB","100","4","1","1000","0.5","0.5","Not available","150","1.15","12","300","1.4","21","44","35","0","0.1","0.156016400472526","0","250","1.4","12","100","1","22","35","43","0","0","0","0","400","1.4","15","100","0","19","55","26","0","0","0","0","1000","1.4","15","100","0","19","55","26","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ABEYM~~~~~N","1596","ABEYM~~~~~N","SLCAB","100","4","4","1000","0.5","0.5","Not available","130","0.6","16","30","3.8","35","50","15","0","0.1","0.182995437486572","0","270","1.1","21","100","1.1","37","57","6","0","0","0","0","750","1.3","18","0","0","55","40","5","0","0","0","0","1000","1.3","18","0","0","56","34","10","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ABEZM~~~~~N","1597","ABEZM~~~~~N","SLCAB","100","2","1","1000","0.5","0.5","Not available","50","1.5","6","600","0.5","3","12","85","25","0.1","0.0672359068367194","0","1000","1.55","4","300","0","3","12","85","20","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ABFALaa~~~A","1598","ABFALaa~~~A","SLCAB","100","7","4","2000","0.5","0.5","Not available","220","1.1","14","30","4.5","49","44","7","0","0.1","0.216257419342542","0","560","1.3","18","0","1.1","80","19","1","0","0","0","0","680","1.3","19","0","1.4","79","21","0","0","0","0","1","740","1.25","18","0","1.4","82","18","0","0","0","0","1","1310","1.25","18","0","1.4","82","18","0","0","0","0","1","1650","1.25","18","0","1","82","18","0","0","0","0","4","2000","1.25","18","0","0.5","72","28","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ABFAL~~~~~A","1599","ABFAL~~~~~A","SLCAB","100","7","4","2000","0.5","0.5","Not available","220","1.1","14","30","4.5","49","44","7","0","0.1","0.216257419342542","0","560","1.3","18","0","1.1","80","19","1","0","0","0","0","680","1.3","19","0","1.4","79","21","0","0","0","0","1","740","1.25","18","0","1.4","82","18","0","0","0","0","1","1310","1.25","18","0","1.4","82","18","0","0","0","0","1","1650","1.25","18","0","1","82","18","0","0","0","0","4","2000","1.25","18","0","0.5","72","28","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ABFBG~~~~~N","1600","ABFBG~~~~~N","SLCAB","100","3","3","1000","0.5","0.5","Not available","100","1","14","100","5","35","55","10","0","0.1","0.234820502742126","1","500","1.4","16","100","0.5","35","40","25","0","0","0","4","1000","1.45","17","10","0","35","40","25","1","0","0","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
