"MUID","SEQN","SNAM","S5ID","CMPPCT","NLAYERS","HYDGRP","SOL_ZMX","ANION_EXCL","SOL_CRK","TEXTURE","SOL_Z1","SOL_BD1","SOL_AWC1","SOL_K1","SOL_CBN1","CLAY1","SILT1","SAND1","ROCK1","SOL_ALB1","USLE_K1","SOL_EC1","SOL_Z2","SOL_BD2","SOL_AWC2","SOL_K2","SOL_CBN2","CLAY2","SILT2","SAND2","ROCK2","SOL_ALB2","USLE_K2","SOL_EC2","SOL_Z3","SOL_BD3","SOL_AWC3","SOL_K3","SOL_CBN3","CLAY3","SILT3","SAND3","ROCK3","SOL_ALB3","USLE_K3","SOL_EC3","SOL_Z4","SOL_BD4","SOL_AWC4","SOL_K4","SOL_CBN4","CLAY4","SILT4","SAND4","ROCK4","SOL_ALB4","USLE_K4","SOL_EC4","SOL_Z5","SOL_BD5","SOL_AWC5","SOL_K5","SOL_CBN5","CLAY5","SILT5","SAND5","ROCK5","SOL_ALB5","USLE_K5","SOL_EC5","SOL_Z6","SOL_BD6","SOL_AWC6","SOL_K6","SOL_CBN6","CLAY6","SILT6","SAND6","ROCK6","SOL_ALB6","USLE_K6","SOL_EC6","SOL_Z7","SOL_BD7","SOL_AWC7","SOL_K7","SOL_CBN7","CLAY7","SILT7","SAND7","ROCK7","SOL_ALB7","USLE_K7","SOL_EC7","SOL_Z8","SOL_BD8","SOL_AWC8","SOL_K8","SOL_CBN8","CLAY8","SILT8","SAND8","ROCK8","SOL_ALB8","USLE_K8","SOL_EC8","SOL_Z9","SOL_BD9","SOL_AWC9","SOL_K9","SOL_CBN9","CLAY9","SILT9","SAND9","ROCK9","SOL_ALB9","USLE_K9","SOL_EC9","SOL_Z10","SOL_BD10","SOL_AWC10","SOL_K10","SOL_CBN10","CLAY10","SILT10","SAND10","ROCK10","SOL_ALB10","USLE_K10","SOL_EC10"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ABABCgl~~~N","1001","ABABCgl~~~N","SLCAB","100","6","3","1600","0.5","0.5","Not available","130","1.35","10","100","0.3","11","39","50","5","0.1","0.174073173943904","0","230","1.45","13","100","0.4","28","29","43","5","0","0","0","580","1.55","14","30","0.4","32","27","41","5","0","0","0","910","1.55","14","30","0.4","30","28","42","5","0","0","0","1200","1.45","13","30","0.5","28","29","43","5","0","0","0","1600","1.45","14","10","0","30","30","40","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ABABCst~~~A","1002","ABABCst~~~A","SLCAB","100","6","2","1600","0.5","0.5","Not available","180","1.25","12","100","1.5","20","35","45","20","0.1","0.134936073742501","0","230","1.45","13","100","0.4","28","29","43","20","0","0","0","580","1.55","14","30","0.4","32","27","41","15","0","0","0","910","1.55","14","30","0.4","30","28","42","15","0","0","0","1200","1.45","13","30","0","28","29","43","15","0","0","0","1600","1.45","14","10","0","30","30","40","10","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ABABCst~~~N","1003","ABABCst~~~N","SLCAB","100","6","2","1600","0.5","0.5","Not available","130","1.35","10","100","0.3","11","39","50","20","0.1","0.174073173943904","0","230","1.45","13","100","0.4","28","29","43","20","0","0","0","580","1.55","14","30","0.4","32","27","41","15","0","0","0","910","1.55","14","30","0.4","30","28","42","15","0","0","0","1200","1.45","13","30","0.5","28","29","43","15","0","0","0","1600","1.45","14","10","0","30","30","40","10","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ABABC~~~~~A","1004","ABABC~~~~~A","SLCAB","100","5","2","1000","0.5","0.5","Not available","180","1.25","12","100","1.5","25","30","45","5","0.1","0.125958960073594","0","230","1.45","13","100","0.4","28","29","43","5","0","0","0","580","1.55","14","30","0.4","32","27","41","5","0","0","0","910","1.55","14","30","0.4","30","28","42","5","0","0","0","1000","1.45","13","30","0.5","28","29","43","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ABABC~~~~~N","1005","ABABC~~~~~N","SLCAB","100","6","2","1600","0.5","0.5","Not available","130","1.35","10","100","0.3","11","39","50","5","0.1","0.174073173943904","0","230","1.45","13","100","0.4","28","29","43","5","0","0","0","580","1.55","14","30","0.4","32","27","41","5","0","0","0","910","1.55","14","30","0.4","30","28","42","5","0","0","0","1200","1.45","13","30","0.5","28","29","43","5","0","0","0","1600","1.45","14","10","0","30","30","40","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ABACE~~~~~A","1006","ABACE~~~~~A","SLCAB","100","5","3","1000","0.5","0.5","Not available","150","1.25","12","100","3.5","20","35","45","2","0.1","0.124657416412785","0","300","1.4","13","100","1","25","30","45","2","0","0","0","600","1.4","14","100","0.8","30","35","35","2","0","0","0","750","1.5","14","30","0","25","35","40","2","0","0","0","1000","1.45","14","10","0","30","30","40","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ABACV~~~~~A","1007","ABACV~~~~~A","SLCAB","100","4","4","1000","0.5","0.5","Not available","120","1","12","30","1.3","63","28","9","0","0.1","0.16494572480947","0","250","1.25","17","10","1.2","61","31","8","0","0","0","0","510","1.3","18","0","0","60","33","7","0","0","0","0","1000","1.25","17","0","0","64","29","7","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ABACV~~~~~N","1008","ABACV~~~~~N","SLCAB","100","4","4","1000","0.5","0.5","Not available","100","0.9","11","30","1.7","63","28","9","0","0.1","0.151969791404468","0","250","1.25","17","10","1.2","61","31","8","0","0","0","0","510","1.3","18","0","0","60","33","7","0","0","0","0","1000","1.25","17","0","0","64","29","7","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ABADMgl~~~N","1009","ABADMgl~~~N","SLCAB","100","6","2","1200","0.5","0.5","Not available","200","1.15","14","300","6.5","24","44","32","0","0.1","0.141658341093386","0","300","1.15","12","300","3.1","25","40","35","0","0","0","0","400","1.35","14","100","0.7","22","42","36","0","0","0","0","700","1.5","16","100","0.4","25","45","30","0","0","0","0","950","1.5","14","30","0.4","22","41","37","0","0","0","0","1200","1.4","15","30","0","20","50","30","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ABADMxt~~~N","1010","ABADMxt~~~N","SLCAB","100","5","2","1520","0.5","0.5","Not available","430","1.15","13","300","5.2","24","44","32","0","0.1","0.141658421269357","0","530","1.35","14","100","0.7","22","42","36","0","0","0","0","790","1.5","16","100","0.4","25","45","30","0","0","0","0","1170","1.5","14","30","0.4","22","41","37","0","0","0","0","1520","1.45","13","30","0","28","28","44","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ABADM~~~~~N","1011","ABADM~~~~~N","SLCAB","100","6","2","2000","0.5","0.5","Not available","430","1.15","13","300","5.2","24","44","32","0","0.1","0.141658421269357","0","530","1.35","14","100","0.7","22","42","36","0","0","0","0","790","1.5","16","100","0.4","25","45","30","0","0","0","0","1170","1.5","14","30","0.4","22","41","37","0","0","0","0","1520","1.4","16","30","0","20","55","25","0","0","0","0","2000","1.5","15","30","0","20","45","35","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ABADYgl~~~N","1012","ABADYgl~~~N","SLCAB","100","4","3","1200","0.5","0.5","Not available","150","1","13","100","7.8","31","50","19","0","0.1","0.169768501122759","0","430","1.35","17","100","2.4","30","53","17","1","0","0","0","900","1.35","17","10","0","35","50","15","2","0","0","0","1200","1.35","19","10","0","35","54","11","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ABADYsa~~~N","1013","ABADYsa~~~N","SLCAB","100","4","3","1200","0.5","0.5","Not available","150","1","14","100","6.2","31","50","19","0","0.1","0.16976850538448","2","430","1.35","17","100","2.4","30","53","17","1","0","0","2","900","1.35","17","10","0","35","50","15","2","0","0","4","1200","1.35","19","10","0","35","54","11","3","0","0","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ABADY~~~~~A","1014","ABADY~~~~~A","SLCAB","100","4","3","1000","0.5","0.5","Not available","180","1.1","14","100","4.8","31","50","19","0","0.1","0.169768845805283","0","430","1.35","17","100","2.4","30","53","17","1","0","0","0","900","1.35","17","10","0","35","50","15","2","0","0","0","1000","1.35","19","10","0","35","54","11","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ABADY~~~~~N","1015","ABADY~~~~~N","SLCAB","100","4","3","1200","0.5","0.5","Not available","150","1","14","100","6.2","31","50","19","0","0.1","0.16976850538448","0","430","1.35","17","100","2.4","30","53","17","1","0","0","0","900","1.35","17","10","0","35","50","15","2","0","0","0","1200","1.35","19","10","0","35","54","11","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ABAGH~~~~~A","1016","ABAGH~~~~~A","SLCAB","100","7","4","1200","0.5","0.5","Not available","130","1.25","15","100","3.7","30","45","25","5","0.1","0.14751633329798","0","200","1.35","15","100","0.8","22","49","29","5","0","0","0","280","1.45","16","100","0.7","36","39","25","3","0","0","0","680","1.35","16","0","0.9","48","32","20","2","0","0","0","830","1.3","16","0","0.4","43","35","22","2","0","0","1","1030","1.3","15","0","0.2","44","31","25","2","0","0","2","1200","1.45","17","10","0.1","38","38","24","2","0","0","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ABAGH~~~~~N","1017","ABAGH~~~~~N","SLCAB","100","7","4","1200","0.5","0.5","Not available","130","1.15","14","100","4.8","30","45","25","5","0.1","0.147506663823419","0","180","1.35","15","100","0.8","22","49","29","5","0","0","0","280","1.45","16","100","0.7","36","39","25","3","0","0","0","680","1.35","16","0","0.9","48","32","20","2","0","0","0","830","1.3","16","0","0.4","43","35","22","2","0","0","1","1030","1.3","15","0","0.2","44","31","25","2","0","0","2","1200","1.45","17","10","0.1","38","38","24","2","0","0","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ABAGSer~~~A","1018","ABAGSer~~~A","SLCAB","100","5","3","1200","0.5","0.5","Not available","100","1.25","13","100","3","20","35","45","3","0.1","0.124723132171867","0","120","1.35","11","100","0.6","15","35","50","5","0","0","0","600","1.55","14","30","0","32","26","42","5","0","0","0","900","1.45","14","10","0","30","29","41","5","0","0","0","1200","1.45","14","10","0","30","27","43","5","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ABAGSsa~~~A","1019","ABAGSsa~~~A","SLCAB","100","5","3","1200","0.5","0.5","Not available","170","1.25","13","100","4","20","35","45","3","0.1","0.124644571008738","0","230","1.35","11","100","0.6","15","35","50","5","0","0","0","700","1.55","14","30","0","32","26","42","5","0","0","4","1000","1.45","14","10","0","30","29","41","5","0","0","6","1200","1.45","14","10","0","30","27","43","5","0","0","8","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ABAGSsc~~~A","1020","ABAGSsc~~~A","SLCAB","100","5","3","1200","0.5","0.5","Not available","170","1.25","13","100","4","20","35","45","3","0.1","0.124644571008738","0","230","1.35","11","100","0.6","15","35","50","5","0","0","0","700","1.55","14","30","0","32","26","42","5","0","0","0","1000","1.45","14","10","0","30","29","41","5","0","0","6","1200","1.45","14","10","0","30","27","43","5","0","0","8","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ABAGSst~~~A","1021","ABAGSst~~~A","SLCAB","100","5","3","1200","0.5","0.5","Not available","170","1.25","13","100","4","20","35","45","10","0.1","0.124644571008738","0","230","1.35","11","100","0.6","15","35","50","10","0","0","0","700","1.55","14","30","0","32","26","42","10","0","0","0","1000","1.45","14","10","0","30","29","41","15","0","0","0","1200","1.45","14","10","0","30","27","43","15","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ABAGS~~~~~A","1022","ABAGS~~~~~A","SLCAB","100","5","3","1200","0.5","0.5","Not available","170","1.25","13","100","4","20","35","45","3","0.1","0.124644571008738","0","230","1.35","11","100","0.6","15","35","50","5","0","0","0","700","1.55","14","30","0","32","26","42","5","0","0","0","1000","1.45","14","10","0","30","29","41","5","0","0","0","1200","1.45","14","10","0","30","27","43","5","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ABAGS~~~~~N","1023","ABAGS~~~~~N","SLCAB","100","5","3","1200","0.5","0.5","Not available","170","1.15","12","300","5.2","20","35","45","3","0.1","0.124641426558153","0","230","1.35","11","100","0.6","15","35","50","5","0","0","0","700","1.55","14","30","0","32","26","42","5","0","0","0","1000","1.45","14","10","0","30","29","41","5","0","0","0","1200","1.45","14","10","0","30","27","43","5","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ABALCaaxp~A","1024","ABALCaaxp~A","SLCAB","100","6","3","2400","0.5","0.5","Not available","140","1.15","13","100","1.5","16","60","24","10","0.1","0.206951832107679","0","370","1.35","18","10","0.7","53","35","12","10","0","0","0","630","1.35","16","10","0.5","45","35","20","10","0","0","0","900","1.3","15","0","0.4","41","38","21","10","0","0","0","1200","1.5","18","10","0.3","37","41","22","10","0","0","0","2400","1.45","18","0","0.2","40","40","20","10","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ABALCco~~~A","1025","ABALCco~~~A","SLCAB","100","6","3","2400","0.5","0.5","Not available","140","1.15","13","100","1.5","16","60","24","10","0.1","0.206951832107679","0","370","1.55","19","10","0.7","40","40","20","10","0","0","0","630","1.55","18","30","0.5","37","41","22","10","0","0","0","900","1.45","18","0","0.4","40","40","20","10","0","0","0","1200","1.5","18","10","0.3","37","41","22","10","0","0","0","2400","1.45","18","0","0.2","40","40","20","10","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ABALC~~~~~N","1026","ABALC~~~~~N","SLCAB","100","7","3","2400","0.5","0.5","Not available","80","1.3","15","100","1","16","60","24","10","0.1","0.234717380648364","0","140","1.35","17","100","0.8","36","49","15","10","0","0","0","370","1.35","18","10","0.7","53","35","12","10","0","0","0","630","1.35","16","10","0.5","45","35","20","10","0","0","0","900","1.3","15","0","0.4","41","38","21","10","0","0","0","1200","1.5","18","10","0.3","37","41","22","10","0","0","0","2400","1.45","18","0","0.2","40","40","20","10","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ABALGxt~~~N","1027","ABALGxt~~~N","SLCAB","100","6","4","1000","0.5","0.5","Not available","70","1.3","13","300","1","8","60","32","0","0.1","0.219771755859939","0","250","1.35","19","10","0.5","55","35","10","0","0","0","0","400","1.3","18","0","0.5","57","34","9","0","0","0","0","700","1.25","18","0","0.5","64","34","2","2","0","0","0","850","1.3","18","0","0","57","35","8","2","0","0","0","1000","1.45","15","10","0","38","28","34","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ABALG~~~~~N","1028","ABALG~~~~~N","SLCAB","100","5","4","1000","0.5","0.5","Not available","70","1.3","13","300","1","8","60","32","0","0.1","0.219771755859939","0","250","1.35","19","10","0.5","55","35","10","0","0","0","0","400","1.3","18","0","0.5","57","34","9","0","0","0","0","800","1.25","18","0","0.5","64","34","2","2","0","0","0","1000","1.3","18","0","0","57","35","8","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ABALTsc~~~N","1029","ABALTsc~~~N","SLCAB","100","5","2","1200","0.5","0.5","Not available","80","1.15","10","300","2.5","20","31","49","0","0.1","0.118335172138397","0","230","1.5","14","30","0","27","30","43","0","0","0","0","680","1.5","15","30","0","27","35","38","0","0","0","0","960","1.5","14","30","0","25","35","40","0","0","0","7","1200","1.5","14","30","0","25","35","40","0","0","0","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ABALT~~~~~A","1030","ABALT~~~~~A","SLCAB","100","5","2","1200","0.5","0.5","Not available","180","1.25","12","100","1.9","25","30","45","0","0.1","0.119218961185612","0","230","1.5","14","30","0","27","30","43","0","0","0","0","680","1.5","15","30","0","27","35","38","0","0","0","0","960","1.5","14","30","0","25","35","40","0","0","0","0","1200","1.5","14","30","0","25","35","40","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ABALT~~~~~N","1031","ABALT~~~~~N","SLCAB","100","5","2","1200","0.5","0.5","Not available","80","1.15","10","300","2.5","20","31","49","0","0.1","0.118335172138397","0","230","1.5","14","30","0","27","30","43","0","0","0","0","680","1.5","15","30","0","27","35","38","0","0","0","0","960","1.5","14","30","0","25","35","40","0","0","0","0","1200","1.5","14","30","0","25","35","40","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ABALX~~~~~N","1032","ABALX~~~~~N","SLCAB","100","5","1","1000","0.5","0.5","Not available","10","1.3","12","300","0.5","6","67","27","15","0.1","0.281665600496803","0","150","1.4","14","600","4.5","6","67","27","15","0","0","0","220","1.4","14","300","3","15","52","33","15","0","0","0","570","1.55","8","300","0","3","35","62","30","0","0","0","1000","1.55","5","300","0","1","20","79","40","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ABAMK~~~~~N","1033","ABAMK~~~~~N","SLCAB","100","5","1","1680","0.5","0.5","Not available","100","1.45","5","300","0.3","2","11","87","0","0.1","0.0601388039308357","0","460","1.45","5","300","0.1","4","9","87","0","0","0","0","520","1.55","6","100","0.2","17","6","77","0","0","0","0","910","1.55","4","300","0.1","6","7","87","0","0","0","0","1680","1.55","4","300","0.1","9","2","89","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ABAMT~~~~~N","1034","ABAMT~~~~~N","SLCAB","100","5","1","1000","0.5","0.5","Not available","100","1.1","14","300","4.6","25","55","20","0","0.1","0.183170295582672","0","300","1.4","16","100","2","25","50","25","0","0","0","0","600","1.4","14","100","1","20","45","35","0","0","0","0","800","1.5","13","100","0","15","40","45","0","0","0","0","1000","1.55","10","100","0","10","30","60","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ABANOer~~~A","1035","ABANOer~~~A","SLCAB","100","3","2","1000","0.5","0.5","Not available","150","1.4","8","100","0.6","10","13","77","0","0.1","0.0932536478150616","0","430","1.45","7","300","0.2","11","16","73","0","0","0","0","1000","1.45","18","30","0","28","51","21","5","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ABANOgl~~~A","1036","ABANOgl~~~A","SLCAB","100","4","2","1000","0.5","0.5","Not available","120","1.35","10","100","1.5","10","25","65","0","0.1","0.114522565314575","0","360","1.45","7","300","0.4","10","13","77","0","0","0","0","550","1.45","7","300","0.2","11","16","73","0","0","0","0","1000","1.45","18","30","0","28","51","21","5","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ABANOst~~~A","1037","ABANOst~~~A","SLCAB","100","4","2","1000","0.5","0.5","Not available","120","1.35","9","100","1.2","10","25","65","5","0.1","0.123395671555688","0","360","1.45","7","300","0.4","10","13","77","5","0","0","0","550","1.45","7","300","0.2","11","16","73","5","0","0","0","1000","1.45","18","30","0","28","51","21","5","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ABANO~~~~~A","1038","ABANO~~~~~A","SLCAB","100","4","2","1000","0.5","0.5","Not available","120","1.35","9","100","1.2","10","25","65","0","0.1","0.123395671555688","0","360","1.45","7","300","0.4","10","13","77","0","0","0","0","550","1.45","7","300","0.2","11","16","73","0","0","0","0","1000","1.45","18","30","0","28","51","21","5","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ABANO~~~~~N","1039","ABANO~~~~~N","SLCAB","100","5","2","1000","0.5","0.5","Not available","30","1.2","10","300","1.6","14","32","54","0","0.1","0.126844680340595","0","160","1.2","9","300","0.8","13","28","59","0","0","0","0","360","1.45","7","300","0.4","10","13","77","0","0","0","0","550","1.45","7","300","0.2","11","16","73","0","0","0","0","1000","1.45","18","30","0","28","51","21","5","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
